Titre,Nombre de pièces,Ville,Prix,Esesntiel,autre,Titre_,nb_pieces_,prix_,Chambres,Surface_m2,Pieces,Salle_de_bain,Sejour_m2,Terrain_m2,Alarme,Place de parking,Jardin privatif,Cave,Cheminée,Climatisation,Dépendance,Garage,Gardien,Grenier,Meublé,Piscine,Terrasse,Balcon,Étage
Maison à vendre,7 pièces •,Saint-Germain-lès-Corbeil,410 000 €,"['7 pièces', 'Surface 170 m²', '4 chambres', '2 salles de bain/eau', 'Séjour 53,94 m²']","['Cheminée', 'Alarme', 'Terrasse', 'Garage', 'Avec jardin privatif']",Maison,7.0,410000,4.0,170.0,7.0,2.0,53.0,,True,False,True,False,True,False,False,True,False,False,False,False,True,False,
Maison à vendre,4 pièces •,Savigny-sur-Orge,334 000 €,"['4 pièces', 'Surface 89 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 360 m²']","['Grenier', 'Alarme', 'Terrasse', 'Balcon', 'Garage', 'Cave', 'Avec jardin privatif']",Maison,4.0,334000,3.0,89.0,4.0,1.0,,360.0,True,False,True,True,False,False,False,True,False,True,False,False,True,True,
Appartement à vendre,"3 pièces •                            67,54 m2",Corbeil-Essonnes,180 000 €,"['3 pièces', 'Surface 67,54 m²', '2 chambres', '1 salle de bain/eau', 'Terrain 70 m²', 'Séjour 22,65 m²']","['Ascenseur', 'Terrasse', 'Balcon', 'Avec jardin privatif', '1 place de parking', 'Bâtiment composé de 3 étages']",Appartement,3.0,180000,2.0,67.0,3.0,1.0,22.0,70.0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,3.0
Maison à vendre,5 pièces •,Orsay,680 000 €,"['5 pièces', 'Surface 155 m²', '4 chambres', '3 salles de bain/eau', 'Terrain 625 m²', 'Séjour 40,56 m²']","['Cheminée', 'Terrasse', 'Avec jardin privatif']",Maison,5.0,680000,4.0,155.0,5.0,3.0,40.0,625.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,
Appartement à vendre,"1 pièce •                            16,89 m2",Soisy-sur-Seine,82 000 €,"['1 pièce', 'Surface 16,89 m²', '1 salle de bain/eau', 'Séjour 10,05 m²']","['Balcon', 'Cave', 'Bâtiment composé de 2 étages']",Appartement,1.0,82000,,16.0,1.0,1.0,10.0,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2.0
Appartement à vendre,"3 pièces •                            81,74 m2",Saint-Michel-sur-Orge,153 000 €,"['3 pièces', 'Surface 81,74 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 22,52 m²']","['Ascenseur', 'Gardien', 'Balcon', 'Cave', '1 place de parking', 'Bâtiment composé de 12 étages']",Appartement,3.0,153000,2.0,81.0,3.0,1.0,22.0,,False,True,False,True,False,False,False,False,True,False,False,False,False,True,12.0
Maison à vendre,4 pièces •,Nozay,235 000 €,"['4 pièces', 'Surface 110,86 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 342 m²', 'Séjour 30,91 m²']","['Cheminée', 'Avec jardin privatif', '1 place de parking']",Maison,4.0,235000,3.0,110.0,4.0,1.0,30.0,342.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,
Maison à vendre,4 pièces •,Montlhéry,388 000 €,"['4 pièces', 'Surface 95 m²', '3 chambres', '1 salle de bain/eau', 'Terrain 1\xa0669 m²', 'Séjour 25 m²']","['Terrasse', 'Avec jardin privatif']",Maison,4.0,388000,3.0,95.0,4.0,1.0,25.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,
Appartement à vendre,3 pièces •                            64 m2,Palaiseau,229 000 €,"['3 pièces', 'Surface 64 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 17 m²']","['Gardien', 'Balcon', 'Cave', '1 place de parking', 'Bâtiment composé de 4 étages', 'Étage 4']",Appartement,3.0,229000,2.0,64.0,3.0,1.0,17.0,,False,True,False,True,False,False,False,False,True,False,False,False,False,True,4.0
Maison à vendre,5 pièces •,Villebon-sur-Yvette,419 000 €,"['5 pièces', 'Surface 105 m²', '4 chambres', '1 salle de bain/eau', 'Terrain 401 m²']","['Terrasse', 'Balcon', 'Garage', 'Avec jardin privatif', '1 place de parking']",Maison,5.0,419000,4.0,105.0,5.0,1.0,,401.0,False,True,True,False,False,False,False,True,False,False,False,False,True,True,
